election_id,election,candidate_id,選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
55086515-7ac8-4ef6-9e8a-23aa6ab936af,"2016-01 > 立法委員 > 臺北市 > 第01選區[區域]",550c640c-2b3c-4e09-abfb-025cacb5b862,105年立法委員,丁守中,23239699,19499800,5200000,1652000,1000,11236,4070045,14628792,35142,520000,428700,40511,2012258,1350000,0,891320
5508641c-f4e0-4b63-8354-28956ab936af,"2016-01 > 立法委員 > 全國[山原]",56002417-30b0-4385-8b50-46a36ab936af,105年立法委員,伊藍．明基努安,0,20000,0,0,4100,0,0,0,0,24100,25000,0,0,0,0,0
55086526-97a0-4c1e-be70-28956ab936af,"2016-01 > 立法委員 > 臺北市 > 第04選區[區域]",55180b22-9e4c-4bc2-8917-0c5a6ab936af,105年立法委員,何偉,782900,20000,0,0,3000,191,806091,1005828,240000,0,0,55880,3280,3000,0,0
550865d1-7764-44a5-a4a2-23aa6ab936af,"2016-01 > 立法委員 > 臺中市 > 第07選區[區域]",550c640c-f520-4a15-9260-025cacb5b862,105年立法委員,何欣純,22447010,8893000,0,0,2433,5622528,9711490,1111906,822325,5512428,758279,0,921986,0,362000,658233
5508677e-0984-4ddb-9f47-2f916ab936af,"2016-01 > 立法委員 > 澎湖縣 > 第01選區[區域]",559c7266-1998-4c91-a61f-5f426ab936af,105年立法委員,冼義哲,223490,0,0,0,7013,17,46033,10900,0,7351,225040,230520,0,0,0,0
55086635-833c-4733-88d2-23d86ab936af,"2016-01 > 立法委員 > 高雄市 > 第03選區[區域]",550da514-14e0-4b27-ba00-1b7f6ab936af,105年立法委員,劉世芳,20953998,13070000,0,622000,31100,11272,5880420,18691461,0,280000,2348937,950000,240437,3762231,0,621651
5508670d-5054-400f-b13f-28956ab936af,"2016-01 > 立法委員 > 雲林縣 > 第02選區[區域]",550c640c-276c-497a-ae26-025cacb5b862,105年立法委員,劉建國,13466366,4179000,0,13010,834,198260,17779210,5110167,245571,120000,3062176,320000,125574,1128561,0,274161
550866b8-0268-44dd-a911-28956ab936af,"2016-01 > 立法委員 > 苗栗縣 > 第02選區[區域]",565a02a8-625c-4527-b6ef-2a3b6ab936af,105年立法委員,劉文忠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55086791-6560-42c7-9763-23aa6ab936af,"2016-01 > 立法委員 > 基隆市 > 第01選區[區域]",555ab9a1-3a0c-4bf5-ba9a-5a316ab936af,105年立法委員,劉文雄,3000107,1500000,4000000,200000,0,2138,8702245,992160,375000,181200,220830,0,1816563,0,0,0
5508676d-2164-4cbb-8762-35296ab936af,"2016-01 > 立法委員 > 臺東縣 > 第01選區[區域]",550c640c-cf74-4d9b-b0a5-025cacb5b862,105年立法委員,劉櫂豪,176811,310,2243865,5247606,9865283,41000,1239800,271457,110000,289604,0,0,32400,10220110,0,0
