"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"228,000",
"",營利事業捐贈收入,"658,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"58,000",
"",其他收入,46,"超過三萬元之收入合計:750,000"
"",收入合計,"944,046","金錢收入總額:916,046非金錢收入總額:28,000"
"支出",人事費用支出,"220,200",
"",宣傳支出,"456,412",
"",租用宣傳車輛支出,"26,401",
"",租用競選辦事處支出,"9,130",
"",集會支出,"83,214",
"",交通旅運支出,"21,865",
"",雜支支出,"151,459",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"9,027",
"",支出合計,"977,708","超過三萬元之支出合計:336,000"
"餘絀",收支結存金額,"-33,662",
"金錢以外之賸餘財產",0,,
