"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"730,000",
"",營利事業捐贈收入,"360,000",
"",政黨捐贈收入,"300,000",
"",人民團體捐贈收入,"25,600",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,330,000"
"",收入合計,"1,415,600","金錢收入總額:1,415,600非金錢收入總額:0"
"支出",人事費用支出,"183,000",
"",宣傳支出,"329,764",
"",租用宣傳車輛支出,"102,825",
"",租用競選辦事處支出,"84,000",
"",集會支出,"424,925",
"",交通旅運支出,0,
"",雜支支出,"367,805",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"25,900",
"",支出合計,"1,518,219","超過三萬元之支出合計:658,404"
"餘絀",收支結存金額,"-102,619",
"金錢以外之賸餘財產",0,,
