"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,400,265",
"",營利事業捐贈收入,"5,478,000",
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,"345,020",
"",匿名捐贈收入,0,
"",其他收入,557,超過三萬元之收入合計:11176000.00
"",收入合計,"12,423,842","金錢收入總額:12423842.00 非金錢收入總額:"
"支出",人事費用支出,"4,742,170",
"",宣傳支出,"5,148,132",
"",租用宣傳車輛支出,"398,985",
"",租用競選辦事處支出,"224,215",
"",集會支出,"132,080",
"",交通旅運支出,"106,959",
"",雜支支出,"1,421,193",
"",返還捐贈支出,"270,000",
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,0,
"",支出合計,"12,443,734",超過三萬元之支出合計:7485022.00
"餘絀",收支結存金額,"-19,892",
"金錢以外之賸餘財產",0,,
