"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"8,974,600",
"",營利事業捐贈收入,"10,976,600",
"",政黨捐贈收入,"100,000",
"",人民團體捐贈收入,"118,000",
"",匿名捐贈收入,"35,000",
"",其他收入,"1,168",超過三萬元之收入合計:19171000.00
"",收入合計,"20,205,368","金錢收入總額:20205368.00 非金錢收入總額:"
"支出",人事費用支出,"758,400",
"",宣傳支出,"9,840,543",
"",租用宣傳車輛支出,"1,382,271",
"",租用競選辦事處支出,"979,583",
"",集會支出,"296,439",
"",交通旅運支出,"40,934",
"",雜支支出,"535,337",
"",返還捐贈支出,"1,345,000",
"",繳庫支出,"20,000",專戶存款結存金額:5740368.00
"",公共關係費用支出,0,
"",支出合計,"15,198,507",超過三萬元之支出合計:13585848.00
"餘絀",收支結存金額,"5,006,861",
"金錢以外之賸餘財產",0,,
