"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,300,088",
"",營利事業捐贈收入,"777,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"10,000",
"",匿名捐贈收入,"38,159",
"",其他收入,419,"超過三萬元之收入合計:4,487,759"
"",收入合計,"7,125,666","金錢收入總額:7,125,666非金錢收入總額:0"
"支出",人事費用支出,"774,415",
"",宣傳支出,"3,648,814",
"",租用宣傳車輛支出,"256,429",
"",租用競選辦事處支出,"688,720",
"",集會支出,"535,550",
"",交通旅運支出,"10,690",
"",雜支支出,"405,123",
"",返還捐贈支出,"710,000",
"",繳庫支出,0,"專戶存款結存金額:1,700,670"
"",公共關係費用支出,0,
"",支出合計,"7,029,741","超過三萬元之支出合計:5,719,062"
"餘絀",收支結存金額,"95,925",
"金錢以外之賸餘財產",0,,
