"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,123,400",
"",營利事業捐贈收入,"553,000",
"",政黨捐贈收入,"2,000,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:4,497,000"
"",收入合計,"4,676,400","金錢收入總額:4,676,400非金錢收入總額:0"
"支出",人事費用支出,"2,575,825",
"",宣傳支出,"1,395,960",
"",租用宣傳車輛支出,"5,300",
"",租用競選辦事處支出,"224,389",
"",集會支出,"74,429",
"",交通旅運支出,"178,175",
"",雜支支出,"437,342",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:250,468"
"",公共關係費用支出,0,
"",支出合計,"4,891,420","超過三萬元之支出合計:3,341,566"
"餘絀",收支結存金額,"-215,020",
"金錢以外之賸餘財產",0,,
