"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,506,278",
"",營利事業捐贈收入,"1,309,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"180,000",
"",匿名捐贈收入,"25,000",
"",其他收入,"1,596","超過三萬元之收入合計:3,965,000"
"",收入合計,"8,021,874","金錢收入總額:7,901,874非金錢收入總額:120,000"
"支出",人事費用支出,"1,593,141",
"",宣傳支出,"3,810,886",
"",租用宣傳車輛支出,"819,564",
"",租用競選辦事處支出,"341,000",
"",集會支出,"645,290",
"",交通旅運支出,"29,335",
"",雜支支出,"869,169",
"",返還捐贈支出,"35,000",
"",繳庫支出,0,"專戶存款結存金額:11,569"
"",公共關係費用支出,"34,078",
"",支出合計,"8,177,463","超過三萬元之支出合計:4,535,500"
"餘絀",收支結存金額,"-155,589",
"金錢以外之賸餘財產",0,,
