"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,334,400",
"",營利事業捐贈收入,"557,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"30,000",
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:1090000.00
"",收入合計,"1,921,400","金錢收入總額:1921400.00 非金錢收入總額:"
"支出",人事費用支出,"726,466",
"",宣傳支出,"1,146,846",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"340,200",
"",集會支出,"48,409",
"",交通旅運支出,"83,476",
"",雜支支出,"234,573",
"",返還捐贈支出,"202,000",
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,0,
"",支出合計,"2,781,970",超過三萬元之支出合計:1572624.00
"餘絀",收支結存金額,"-860,570",
"金錢以外之賸餘財產",0,,
