"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,426,100",
"",營利事業捐贈收入,"2,114,687",
"",政黨捐贈收入,"800,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"16,000",
"",其他收入,654,超過三萬元之收入合計:6296687.00
"",收入合計,"7,357,441","金錢收入總額:7222754.00 非金錢收入總額:134687.00"
"支出",人事費用支出,"2,999,595",
"",宣傳支出,"4,172,029",
"",租用宣傳車輛支出,"433,784",
"",租用競選辦事處支出,"936,090",
"",集會支出,"368,508",
"",交通旅運支出,"69,198",
"",雜支支出,"259,376",
"",返還捐贈支出,"745,000",
"",繳庫支出,0,專戶存款結存金額:1754.00
"",公共關係費用支出,0,
"",支出合計,"9,983,580",超過三萬元之支出合計:6030482.00
"餘絀",收支結存金額,"-2,626,139",
"金錢以外之賸餘財產",0,,
