"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,726,650",
"",營利事業捐贈收入,"507,250",
"",政黨捐贈收入,"6,000",
"",人民團體捐贈收入,"115,000",
"",匿名捐贈收入,"110,000",
"",其他收入,141,超過三萬元之收入合計:4164150.00
"",收入合計,"5,465,041","金錢收入總額:5278341.00 非金錢收入總額:186700.00"
"支出",人事費用支出,"497,000",
"",宣傳支出,"4,122,137",
"",租用宣傳車輛支出,"4,590",
"",租用競選辦事處支出,0,
"",集會支出,"87,900",
"",交通旅運支出,"17,673",
"",雜支支出,"874,597",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:584.00
"",公共關係費用支出,0,
"",支出合計,"5,603,897",超過三萬元之支出合計:4602082.00
"餘絀",收支結存金額,"-138,856",
"金錢以外之賸餘財產",0,,
