"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,898,746",
"",營利事業捐贈收入,"5,430,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"582,000",
"",匿名捐贈收入,"121,200",
"",其他收入,"1,230",超過三萬元之收入合計:11796000.00
"",收入合計,"13,033,176","金錢收入總額:13033176.00 非金錢收入總額:"
"支出",人事費用支出,"4,233,193",
"",宣傳支出,"3,171,409",
"",租用宣傳車輛支出,"63,255",
"",租用競選辦事處支出,"8,719",
"",集會支出,"935,459",
"",交通旅運支出,"41,011",
"",雜支支出,"974,946",
"",返還捐贈支出,"420,000",
"",繳庫支出,"20,000",專戶存款結存金額:1838922.00
"",公共關係費用支出,0,
"",支出合計,"9,867,992",超過三萬元之支出合計:7465830.00
"餘絀",收支結存金額,"3,165,184",
"金錢以外之賸餘財產",0,,
