"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,868,400",
"",營利事業捐贈收入,"4,270,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"35,000",
"",匿名捐贈收入,"6,500",
"",其他收入,"1,031","超過三萬元之收入合計:7,380,000"
"",收入合計,"8,180,931","金錢收入總額:8,180,931非金錢收入總額:0"
"支出",人事費用支出,"1,626,900",
"",宣傳支出,"2,311,077",
"",租用宣傳車輛支出,"160,615",
"",租用競選辦事處支出,0,
"",集會支出,"84,400",
"",交通旅運支出,"86,587",
"",雜支支出,"845,900",
"",返還捐贈支出,"220,600",
"",繳庫支出,0,"專戶存款結存金額:2,792,331"
"",公共關係費用支出,"3,300",
"",支出合計,"5,339,379","超過三萬元之支出合計:2,756,302"
"餘絀",收支結存金額,"2,841,552",
"金錢以外之賸餘財產",0,,
