"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"8,225,688",
"",營利事業捐贈收入,"6,351,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"25,000",
"",其他收入,"1,117","超過三萬元之收入合計:13,760,000"
"",收入合計,"14,602,805","金錢收入總額:14,502,805非金錢收入總額:100,000"
"支出",人事費用支出,"599,628",
"",宣傳支出,"5,180,255",
"",租用宣傳車輛支出,"594,400",
"",租用競選辦事處支出,"1,075,718",
"",集會支出,"651,980",
"",交通旅運支出,"68,080",
"",雜支支出,"1,726,291",
"",返還捐贈支出,0,
"",繳庫支出,"35,000","專戶存款結存金額:4,102,805"
"",公共關係費用支出,"178,893",
"",支出合計,"10,110,245","超過三萬元之支出合計:7,530,513"
"餘絀",收支結存金額,"4,492,560",
"金錢以外之賸餘財產","710,000",,
