"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,321,500",
"",營利事業捐贈收入,"225,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"8,800",
"",匿名捐贈收入,"50,200",
"",其他收入,111,"超過三萬元之收入合計:1,420,000"
"",收入合計,"1,605,611","金錢收入總額:1,605,611非金錢收入總額:0"
"支出",人事費用支出,"1,536,017",
"",宣傳支出,"1,072,232",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"43,176",
"",集會支出,0,
"",交通旅運支出,"107,939",
"",雜支支出,"459,342",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:211
"",公共關係費用支出,"71,105",
"",支出合計,"3,289,811","超過三萬元之支出合計:1,446,026"
"餘絀",收支結存金額,"-1,684,200",
"金錢以外之賸餘財產",0,,
