"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,146,000",
"",營利事業捐贈收入,"964,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,184,000"
"",收入合計,"2,110,000","金錢收入總額:2,110,000非金錢收入總額:0"
"支出",人事費用支出,"1,367,581",
"",宣傳支出,"2,553,400",
"",租用宣傳車輛支出,"111,300",
"",租用競選辦事處支出,"70,000",
"",集會支出,"596,844",
"",交通旅運支出,"145,842",
"",雜支支出,"911,431",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"4,208",
"",支出合計,"5,760,606","超過三萬元之支出合計:2,265,481"
"餘絀",收支結存金額,"-3,650,606",
"金錢以外之賸餘財產",0,,
