"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"11,350,070",
"",營利事業捐贈收入,"20,707,180",
"",政黨捐贈收入,"40,500",
"",人民團體捐贈收入,"208,500",
"",匿名捐贈收入,"23,400",
"",其他收入,"4,431","超過二萬元之收入合計:31,534,000"
"",收入合計,"32,334,081","金錢收入總額:30,996,531非金錢收入總額:1,337,550"
"支出",宣傳支出,"12,737,220",
"",租用宣傳車輛支出,"892,400",
"",租用競選辦事處支出,"1,243,873",
"",集會支出,"5,189,514",
"",交通旅運支出,"2,638,864",
"",雜支支出,"12,944,658",
"",繳庫支出,0,專戶存款結存金額:0
"",支出合計,"35,646,529","超過二萬元之支出合計:26,714,033"
"餘絀",收支結存金額,"-3,312,448",
"金錢以外之賸餘財產",0,,
