"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,291,488",
"",營利事業捐贈收入,"8,230,150",
"",政黨捐贈收入,"3,000,000",
"",人民團體捐贈收入,"40,000",
"",匿名捐贈收入,"4,000",
"",其他收入,303,"超過二萬元之收入合計:14,876,838"
"",收入合計,"15,565,941","金錢收入總額:15,507,791非金錢收入總額:58,150"
"支出",宣傳支出,"10,061,465",
"",租用宣傳車輛支出,"396,186",
"",租用競選辦事處支出,"12,800",
"",集會支出,"4,496,167",
"",交通旅運支出,"1,226,918",
"",雜支支出,"5,356,906",
"",繳庫支出,0,"專戶存款結存金額:7,791"
"",支出合計,"21,550,442","超過二萬元之支出合計:17,175,400"
"餘絀",收支結存金額,"-5,984,501",
"金錢以外之賸餘財產",0,,
