"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"250,000",
"",營利事業捐贈收入,"50,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,5,"超過三萬元之收入合計:50,000"
"",收入合計,"300,005","金錢收入總額:300,005非金錢收入總額:0"
"支出",人事費用支出,"430,000",
"",宣傳支出,"1,622,204",
"",租用宣傳車輛支出,"212,700",
"",租用競選辦事處支出,"144,000",
"",集會支出,"6,800",
"",交通旅運支出,"78,875",
"",雜支支出,"343,272",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:20,005"
"",公共關係費用支出,"12,300",
"",支出合計,"2,850,151","超過三萬元之支出合計:1,920,290"
"餘絀",收支結存金額,"-2,550,146",
"金錢以外之賸餘財產",0,,
