"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"450,200",
"",營利事業捐贈收入,"1,351,600",
"",政黨捐贈收入,"100,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"14,000",
"",其他收入,98,"超過三萬元之收入合計:1,560,000"
"",收入合計,"1,915,898","金錢收入總額:1,915,898非金錢收入總額:0"
"支出",人事費用支出,"48,000",
"",宣傳支出,"1,510,764",
"",租用宣傳車輛支出,"140,461",
"",租用競選辦事處支出,"81,302",
"",集會支出,"29,100",
"",交通旅運支出,"2,229",
"",雜支支出,"374,824",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:10,320"
"",公共關係費用支出,0,
"",支出合計,"2,186,680","超過三萬元之支出合計:1,435,392"
"餘絀",收支結存金額,"-270,782",
"金錢以外之賸餘財產",0,,
