"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,794,568",
"",營利事業捐贈收入,"1,715,200",
"",政黨捐贈收入,"20,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"35,000",
"",其他收入,35,"超過三萬元之收入合計:2,529,768"
"",收入合計,"3,564,803","金錢收入總額:3,564,803非金錢收入總額:0"
"支出",人事費用支出,"285,800",
"",宣傳支出,"1,638,222",
"",租用宣傳車輛支出,"163,350",
"",租用競選辦事處支出,"33,061",
"",集會支出,"673,235",
"",交通旅運支出,"63,487",
"",雜支支出,"609,343",
"",返還捐贈支出,"150,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"3,616,498","超過三萬元之支出合計:1,293,414"
"餘絀",收支結存金額,"-51,695",
"金錢以外之賸餘財產",0,,
