"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,594,000",
"",營利事業捐贈收入,"390,000",
"",政黨捐贈收入,"300,000",
"",人民團體捐贈收入,"230,000",
"",匿名捐贈收入,"1,000",
"",其他收入,32,"超過三萬元之收入合計:2,060,000"
"",收入合計,"2,515,032","金錢收入總額:2,405,032非金錢收入總額:110,000"
"支出",人事費用支出,"895,660",
"",宣傳支出,"5,810,265",
"",租用宣傳車輛支出,"86,430",
"",租用競選辦事處支出,0,
"",集會支出,"134,755",
"",交通旅運支出,"138,930",
"",雜支支出,"502,167",
"",返還捐贈支出,"100,000",
"",繳庫支出,0,專戶存款結存金額:32
"",公共關係費用支出,"8,500",
"",支出合計,"7,676,707","超過三萬元之支出合計:6,035,202"
"餘絀",收支結存金額,"-5,161,675",
"金錢以外之賸餘財產",0,,
