"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,930,400",
"",營利事業捐贈收入,"1,277,000",
"",政黨捐贈收入,"1,000,000",
"",人民團體捐贈收入,"102,000",
"",匿名捐贈收入,"23,545",
"",其他收入,31,"超過三萬元之收入合計:4,796,000"
"",收入合計,"6,332,976","金錢收入總額:6,321,876非金錢收入總額:11,100"
"支出",人事費用支出,"189,050",
"",宣傳支出,"9,089,687",
"",租用宣傳車輛支出,"1,193,267",
"",租用競選辦事處支出,"44,271",
"",集會支出,"1,243,650",
"",交通旅運支出,"196,226",
"",雜支支出,"363,835",
"",返還捐贈支出,"20,000",
"",繳庫支出,0,專戶存款結存金額:76
"",公共關係費用支出,"42,960",
"",支出合計,"12,382,946","超過三萬元之支出合計:9,147,051"
"餘絀",收支結存金額,"-6,049,970",
"金錢以外之賸餘財產","11,100",,
