"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"5,309,414",
"",營利事業捐贈收入,"5,210,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"100,000",
"",匿名捐贈收入,"32,300",
"",其他收入,11,"超過三萬元之收入合計:8,737,000"
"",收入合計,"10,651,725","金錢收入總額:10,617,292非金錢收入總額:34,433"
"支出",人事費用支出,"450,000",
"",宣傳支出,"7,254,167",
"",租用宣傳車輛支出,"975,650",
"",租用競選辦事處支出,"103,217",
"",集會支出,"835,947",
"",交通旅運支出,"54,985",
"",雜支支出,"393,318",
"",返還捐贈支出,"1,000,000",
"",繳庫支出,0,專戶存款結存金額:11
"",公共關係費用支出,0,
"",支出合計,"11,067,284","超過三萬元之支出合計:9,947,339"
"餘絀",收支結存金額,"-415,559",
"金錢以外之賸餘財產",0,,
