"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"301,000",
"",營利事業捐贈收入,"1,570,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,816,000"
"",收入合計,"1,921,000","金錢收入總額:1,921,000非金錢收入總額:0"
"支出",人事費用支出,"94,000",
"",宣傳支出,"1,002,744",
"",租用宣傳車輛支出,"106,215",
"",租用競選辦事處支出,"179,350",
"",集會支出,"524,975",
"",交通旅運支出,"19,991",
"",雜支支出,"80,001",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"115,050",
"",支出合計,"2,122,326","超過三萬元之支出合計:949,748"
"餘絀",收支結存金額,"-201,326",
"金錢以外之賸餘財產",0,,
