"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"440,710",
"",營利事業捐贈收入,"81,900",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,"60,000",
"",匿名捐贈收入,"14,150",
"",其他收入,23,"超過三萬元之收入合計:410,000"
"",收入合計,"646,783","金錢收入總額:589,223非金錢收入總額:57,560"
"支出",人事費用支出,0,
"",宣傳支出,"159,560",
"",租用宣傳車輛支出,"105,368",
"",租用競選辦事處支出,"34,986",
"",集會支出,"221,422",
"",交通旅運支出,"39,940",
"",雜支支出,"212,701",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:59,223"
"",公共關係費用支出,"47,000",
"",支出合計,"820,977","超過三萬元之支出合計:449,429"
"餘絀",收支結存金額,"-174,194",
"金錢以外之賸餘財產",0,,
