"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"984,200",
"",營利事業捐贈收入,"412,000",
"",政黨捐贈收入,"100,000",
"",人民團體捐贈收入,"5,000",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,020,000"
"",收入合計,"1,501,200","金錢收入總額:1,379,200非金錢收入總額:122,000"
"支出",人事費用支出,"320,515",
"",宣傳支出,"582,560",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"13,750",
"",集會支出,"102,860",
"",交通旅運支出,"99,933",
"",雜支支出,"564,133",
"",返還捐贈支出,"200,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"1,883,751","超過三萬元之支出合計:704,330"
"餘絀",收支結存金額,"-382,551",
"金錢以外之賸餘財產",0,,
