"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,459,600",
"",營利事業捐贈收入,"954,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,10,"超過三萬元之收入合計:1,380,800"
"",收入合計,"2,413,610","金錢收入總額:2,413,610非金錢收入總額:0"
"支出",人事費用支出,"326,900",
"",宣傳支出,"1,111,666",
"",租用宣傳車輛支出,"66,000",
"",租用競選辦事處支出,"191,525",
"",集會支出,"648,245",
"",交通旅運支出,"107,609",
"",雜支支出,"438,438",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"27,600",
"",支出合計,"2,917,983","超過三萬元之支出合計:1,292,300"
"餘絀",收支結存金額,"-504,373",
"金錢以外之賸餘財產",0,,
