"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"204,200",
"",營利事業捐贈收入,"561,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,"101,600",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:850,000"
"",收入合計,"916,800","金錢收入總額:915,200非金錢收入總額:1,600"
"支出",人事費用支出,"258,000",
"",宣傳支出,"511,132",
"",租用宣傳車輛支出,"82,708",
"",租用競選辦事處支出,0,
"",集會支出,"163,620",
"",交通旅運支出,"16,699",
"",雜支支出,"256,640",
"",返還捐贈支出,"1,600",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"1,290,399","超過三萬元之支出合計:480,350"
"餘絀",收支結存金額,"-373,599",
"金錢以外之賸餘財產",0,,
