"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,361,600",
"",營利事業捐贈收入,"296,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,352,000"
"",收入合計,"1,707,600","金錢收入總額:1,707,600非金錢收入總額:0"
"支出",人事費用支出,"117,400",
"",宣傳支出,"1,089,496",
"",租用宣傳車輛支出,"85,310",
"",租用競選辦事處支出,"12,740",
"",集會支出,"222,500",
"",交通旅運支出,0,
"",雜支支出,"220,802",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:497,580"
"",公共關係費用支出,0,
"",支出合計,"1,748,248","超過三萬元之支出合計:1,396,546"
"餘絀",收支結存金額,"-40,648",
"金錢以外之賸餘財產",0,,
