"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,832,200",
"",營利事業捐贈收入,"263,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,45,"超過三萬元之收入合計:776,000"
"",收入合計,"2,095,245","金錢收入總額:2,095,245非金錢收入總額:0"
"支出",人事費用支出,"171,340",
"",宣傳支出,"1,179,457",
"",租用宣傳車輛支出,"74,235",
"",租用競選辦事處支出,"37,330",
"",集會支出,"205,567",
"",交通旅運支出,"17,221",
"",雜支支出,"424,991",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:183,045"
"",公共關係費用支出,"161,720",
"",支出合計,"2,271,861","超過三萬元之支出合計:1,263,655"
"餘絀",收支結存金額,"-176,616",
"金錢以外之賸餘財產",0,,
