"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"804,000",
"",營利事業捐贈收入,"810,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"700,000",
"",匿名捐贈收入,0,
"",其他收入,94,"超過三萬元之收入合計:2,150,000"
"",收入合計,"2,314,094","金錢收入總額:2,314,094非金錢收入總額:0"
"支出",人事費用支出,"805,575",
"",宣傳支出,"955,378",
"",租用宣傳車輛支出,"80,805",
"",租用競選辦事處支出,"125,000",
"",集會支出,"73,000",
"",交通旅運支出,"1,335",
"",雜支支出,"329,232",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:4,094"
"",公共關係費用支出,0,
"",支出合計,"2,370,325","超過三萬元之支出合計:592,100"
"餘絀",收支結存金額,"-56,231",
"金錢以外之賸餘財產",0,,
