"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"686,200",
"",營利事業捐贈收入,"740,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"1,000",
"",匿名捐贈收入,"10,000",
"",其他收入,127,"超過三萬元之收入合計:786,000"
"",收入合計,"1,437,327","金錢收入總額:1,357,327非金錢收入總額:80,000"
"支出",人事費用支出,"45,000",
"",宣傳支出,"496,444",
"",租用宣傳車輛支出,"176,764",
"",租用競選辦事處支出,"60,000",
"",集會支出,"294,835",
"",交通旅運支出,"15,596",
"",雜支支出,"189,550",
"",返還捐贈支出,"50,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"227,800",
"",支出合計,"1,555,989","超過三萬元之支出合計:388,959"
"餘絀",收支結存金額,"-118,662",
"金錢以外之賸餘財產",0,,
