"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,173,480",
"",營利事業捐贈收入,"595,070",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,1,"超過三萬元之收入合計:2,162,000"
"",收入合計,"2,818,551","金錢收入總額:2,704,001非金錢收入總額:114,550"
"支出",人事費用支出,"452,425",
"",宣傳支出,"1,307,712",
"",租用宣傳車輛支出,"168,103",
"",租用競選辦事處支出,"87,140",
"",集會支出,"170,927",
"",交通旅運支出,"64,009",
"",雜支支出,"309,001",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:2
"",公共關係費用支出,"404,180",
"",支出合計,"2,963,497","超過三萬元之支出合計:1,943,040"
"餘絀",收支結存金額,"-144,946",
"金錢以外之賸餘財產",0,,
