"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,912,000",
"",營利事業捐贈收入,"1,373,590",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"86,000",
"",匿名捐贈收入,0,
"",其他收入,109,"超過三萬元之收入合計:2,626,000"
"",收入合計,"3,371,699","金錢收入總額:3,254,609非金錢收入總額:117,090"
"支出",人事費用支出,"649,600",
"",宣傳支出,"1,018,630",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,"243,580",
"",交通旅運支出,"35,806",
"",雜支支出,"1,636,058",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"3,583,674","超過三萬元之支出合計:1,627,510"
"餘絀",收支結存金額,"-211,975",
"金錢以外之賸餘財產",0,,
