"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,914,700",
"",營利事業捐贈收入,"540,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"9,000",
"",匿名捐贈收入,"3,100",
"",其他收入,0,"超過三萬元之收入合計:1,098,000"
"",收入合計,"2,466,800","金錢收入總額:2,466,800非金錢收入總額:0"
"支出",人事費用支出,"345,400",
"",宣傳支出,"1,128,747",
"",租用宣傳車輛支出,"298,850",
"",租用競選辦事處支出,"46,060",
"",集會支出,"9,700",
"",交通旅運支出,"29,951",
"",雜支支出,"663,952",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"2,522,660","超過三萬元之支出合計:1,026,051"
"餘絀",收支結存金額,"-55,860",
"金錢以外之賸餘財產",0,,
