"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,105,000",
"",營利事業捐贈收入,"945,200",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"25,600",
"",其他收入,80,"超過三萬元之收入合計:1,524,000"
"",收入合計,"2,125,880","金錢收入總額:2,062,680非金錢收入總額:63,200"
"支出",人事費用支出,"776,000",
"",宣傳支出,"721,082",
"",租用宣傳車輛支出,"143,700",
"",租用競選辦事處支出,0,
"",集會支出,"29,420",
"",交通旅運支出,"36,482",
"",雜支支出,"376,030",
"",返還捐贈支出,0,
"",繳庫支出,"20,000",專戶存款結存金額:80
"",公共關係費用支出,"263,650",
"",支出合計,"2,366,364","超過三萬元之支出合計:1,282,733"
"餘絀",收支結存金額,"-240,484",
"金錢以外之賸餘財產",0,,
