"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"626,000",
"",營利事業捐贈收入,"860,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,296,000"
"",收入合計,"1,486,000","金錢收入總額:1,486,000非金錢收入總額:0"
"支出",人事費用支出,"49,950",
"",宣傳支出,"673,921",
"",租用宣傳車輛支出,"75,472",
"",租用競選辦事處支出,"5,700",
"",集會支出,"603,050",
"",交通旅運支出,"11,070",
"",雜支支出,"196,738",
"",返還捐贈支出,"400,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"35,343",
"",支出合計,"2,051,244","超過三萬元之支出合計:1,538,100"
"餘絀",收支結存金額,"-565,244",
"金錢以外之賸餘財產",0,,
