"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"870,000",
"",營利事業捐贈收入,"775,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,320,000"
"",收入合計,"1,695,000","金錢收入總額:1,695,000非金錢收入總額:0"
"支出",人事費用支出,"525,100",
"",宣傳支出,"361,114",
"",租用宣傳車輛支出,"59,800",
"",租用競選辦事處支出,"170,000",
"",集會支出,"538,600",
"",交通旅運支出,"34,517",
"",雜支支出,"147,222",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"57,166",
"",支出合計,"1,893,519","超過三萬元之支出合計:1,236,150"
"餘絀",收支結存金額,"-198,519",
"金錢以外之賸餘財產",0,,
