"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"571,400",
"",營利事業捐贈收入,"737,600",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"1,000",
"",其他收入,18,"超過三萬元之收入合計:910,000"
"",收入合計,"1,360,018","金錢收入總額:1,360,018非金錢收入總額:0"
"支出",人事費用支出,"369,000",
"",宣傳支出,"1,029,687",
"",租用宣傳車輛支出,"207,000",
"",租用競選辦事處支出,"166,600",
"",集會支出,"832,455",
"",交通旅運支出,"22,479",
"",雜支支出,"282,022",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:18
"",公共關係費用支出,0,
"",支出合計,"2,909,243","超過三萬元之支出合計:1,408,054"
"餘絀",收支結存金額,"-1,549,225",
"金錢以外之賸餘財產",0,,
