"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"924,350",
"",營利事業捐贈收入,"1,072,400",
"",政黨捐贈收入,"30,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,8,"超過三萬元之收入合計:1,021,400"
"",收入合計,"2,026,758","金錢收入總額:1,821,608非金錢收入總額:205,150"
"支出",人事費用支出,"149,050",
"",宣傳支出,"1,351,881",
"",租用宣傳車輛支出,"14,000",
"",租用競選辦事處支出,"112,500",
"",集會支出,"297,493",
"",交通旅運支出,"17,861",
"",雜支支出,"853,803",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:8
"",公共關係費用支出,0,
"",支出合計,"2,796,588","超過三萬元之支出合計:1,746,941"
"餘絀",收支結存金額,"-769,830",
"金錢以外之賸餘財產",0,,
