"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,734,800",
"",營利事業捐贈收入,"91,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,"30,000",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,170,000"
"",收入合計,"1,905,800","金錢收入總額:1,905,800非金錢收入總額:0"
"支出",人事費用支出,"516,620",
"",宣傳支出,"1,259,906",
"",租用宣傳車輛支出,"66,826",
"",租用競選辦事處支出,0,
"",集會支出,"89,550",
"",交通旅運支出,"22,817",
"",雜支支出,"590,727",
"",返還捐贈支出,"12,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"64,300",
"",支出合計,"2,622,746","超過三萬元之支出合計:1,462,768"
"餘絀",收支結存金額,"-716,946",
"金錢以外之賸餘財產",0,,
