"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,196,000",
"",營利事業捐贈收入,"3,157,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:4,219,000"
"",收入合計,"4,403,000","金錢收入總額:4,261,000非金錢收入總額:142,000"
"支出",人事費用支出,"793,600",
"",宣傳支出,"2,338,323",
"",租用宣傳車輛支出,"66,450",
"",租用競選辦事處支出,"90,000",
"",集會支出,"970,710",
"",交通旅運支出,"22,863",
"",雜支支出,"345,783",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"4,627,729","超過三萬元之支出合計:3,831,795"
"餘絀",收支結存金額,"-224,729",
"金錢以外之賸餘財產",0,,
