"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"918,488",
"",營利事業捐贈收入,"198,600",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,"2,000",
"",匿名捐贈收入,"5,000",
"",其他收入,0,"超過三萬元之收入合計:516,000"
"",收入合計,"1,174,088","金錢收入總額:1,174,088非金錢收入總額:0"
"支出",人事費用支出,"1,765,090",
"",宣傳支出,"1,409,459",
"",租用宣傳車輛支出,"125,013",
"",租用競選辦事處支出,"14,500",
"",集會支出,"160,045",
"",交通旅運支出,0,
"",雜支支出,"727,044",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"30,800",
"",支出合計,"4,231,951","超過三萬元之支出合計:1,789,876"
"餘絀",收支結存金額,"-3,057,863",
"金錢以外之賸餘財產",0,,
