"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,202,000",
"",營利事業捐贈收入,"167,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"20,000",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:620,000"
"",收入合計,"1,389,000","金錢收入總額:1,364,000非金錢收入總額:25,000"
"支出",人事費用支出,"449,900",
"",宣傳支出,"676,421",
"",租用宣傳車輛支出,"208,000",
"",租用競選辦事處支出,"130,200",
"",集會支出,"71,150",
"",交通旅運支出,"14,974",
"",雜支支出,"142,207",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"1,692,852","超過三萬元之支出合計:967,640"
"餘絀",收支結存金額,"-303,852",
"金錢以外之賸餘財產",0,,
