"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,030,000",
"",營利事業捐贈收入,"1,500,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,"100,000",
"",匿名捐贈收入,0,
"",其他收入,100,"超過三萬元之收入合計:2,650,000"
"",收入合計,"2,680,100","金錢收入總額:2,680,100非金錢收入總額:0"
"支出",人事費用支出,"610,000",
"",宣傳支出,"438,500",
"",租用宣傳車輛支出,"330,000",
"",租用競選辦事處支出,0,
"",集會支出,0,
"",交通旅運支出,0,
"",雜支支出,"456,357",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:845,143"
"",公共關係費用支出,0,
"",支出合計,"1,834,857","超過三萬元之支出合計:1,251,100"
"餘絀",收支結存金額,"845,243",
"金錢以外之賸餘財產","92,000",,
