"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"180,000",
"",營利事業捐贈收入,"960,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,"50,000",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,100,000"
"",收入合計,"1,240,000","金錢收入總額:1,240,000非金錢收入總額:0"
"支出",人事費用支出,"130,820",
"",宣傳支出,"675,551",
"",租用宣傳車輛支出,"387,725",
"",租用競選辦事處支出,"129,684",
"",集會支出,"16,500",
"",交通旅運支出,"23,265",
"",雜支支出,"255,767",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:30,000"
"",公共關係費用支出,0,
"",支出合計,"1,619,312","超過三萬元之支出合計:730,985"
"餘絀",收支結存金額,"-379,312",
"金錢以外之賸餘財產",0,,
