"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,097,000",
"",營利事業捐贈收入,"1,270,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,932,000"
"",收入合計,"2,417,000","金錢收入總額:2,417,000非金錢收入總額:0"
"支出",人事費用支出,"1,075,465",
"",宣傳支出,"1,501,998",
"",租用宣傳車輛支出,"277,530",
"",租用競選辦事處支出,0,
"",集會支出,"47,600",
"",交通旅運支出,"83,907",
"",雜支支出,"282,266",
"",返還捐贈支出,"150,000",
"",繳庫支出,0,"專戶存款結存金額:7,004"
"",公共關係費用支出,"9,187",
"",支出合計,"3,427,953","超過三萬元之支出合計:1,824,300"
"餘絀",收支結存金額,"-1,010,953",
"金錢以外之賸餘財產",0,,
