"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"89,043,615",
"",營利事業捐贈收入,"28,121,320",
"",政黨捐贈收入,"2,854,275",
"",人民團體捐贈收入,"932,000",
"",匿名捐贈收入,"23,335,901",
"",其他收入,"12,671","超過三萬元之收入合計:88,724,086"
"",收入合計,"144,299,782","金錢收入總額:140,545,592非金錢收入總額:3,754,190"
"支出",人事費用支出,"10,504,728",
"",宣傳支出,"86,050,711",
"",租用宣傳車輛支出,"901,281",
"",租用競選辦事處支出,"5,618,938",
"",集會支出,"33,084,542",
"",交通旅運支出,"1,982,924",
"",雜支支出,"5,742,106",
"",返還捐贈支出,"1,687,500",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"918,482",
"",支出合計,"146,491,212","超過三萬元之支出合計:121,890,132"
"餘絀",收支結存金額,"-2,191,430",
"金錢以外之賸餘財產","1,098,427",,
