"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"842,450",
"",營利事業捐贈收入,0,
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"255,400",
"",其他收入,50,"超過三萬元之收入合計:719,200"
"",收入合計,"1,297,900","金錢收入總額:1,297,900非金錢收入總額:0"
"支出",人事費用支出,"158,035",
"",宣傳支出,"187,540",
"",租用宣傳車輛支出,"66,450",
"",租用競選辦事處支出,"195,140",
"",集會支出,"453,369",
"",交通旅運支出,"31,209",
"",雜支支出,"292,852",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:50
"",公共關係費用支出,"14,920",
"",支出合計,"1,399,515","超過三萬元之支出合計:522,679"
"餘絀",收支結存金額,"-101,615",
"金錢以外之賸餘財產",0,,
