"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,365,500",
"",營利事業捐贈收入,"448,000",
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,"15,000",
"",匿名捐贈收入,"5,000",
"",其他收入,0,超過三萬元之收入合計:1520000.00
"",收入合計,"2,033,500","金錢收入總額:2006000.00 非金錢收入總額:27500.00"
"支出",人事費用支出,"1,133,150",
"",宣傳支出,"1,415,211",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,0,
"",交通旅運支出,"127,080",
"",雜支支出,"236,675",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,0,
"",支出合計,"2,912,116",超過三萬元之支出合計:1449005.00
"餘絀",收支結存金額,"-878,616",
"金錢以外之賸餘財產",0,,
