"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,930,400",
"",營利事業捐贈收入,"139,000",
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,"2,000",
"",匿名捐贈收入,"33,000",
"",其他收入,75,超過三萬元之收入合計:1806000.00
"",收入合計,"2,304,475","金錢收入總額:2304475.00 非金錢收入總額:"
"支出",人事費用支出,0,
"",宣傳支出,"4,598,070",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,"222,310",
"",交通旅運支出,0,
"",雜支支出,"496,209",
"",返還捐贈支出,"60,000",
"",繳庫支出,0,專戶存款結存金額:75.00
"",公共關係費用支出,0,
"",支出合計,"5,376,589",超過三萬元之支出合計:5080260.00
"餘絀",收支結存金額,"-3,072,114",
"金錢以外之賸餘財產",0,,
