"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,721,000",
"",營利事業捐贈收入,"2,342,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"2,000",
"",其他收入,68,"超過三萬元之收入合計:5,775,400"
"",收入合計,"6,065,068","金錢收入總額:5,919,668非金錢收入總額:145,400"
"支出",人事費用支出,"2,331,942",
"",宣傳支出,"1,038,015",
"",租用宣傳車輛支出,"39,261",
"",租用競選辦事處支出,"182,399",
"",集會支出,"7,500",
"",交通旅運支出,"39,113",
"",雜支支出,"645,764",
"",返還捐贈支出,"600,000",
"",繳庫支出,0,專戶存款結存金額:651
"",公共關係費用支出,0,
"",支出合計,"4,883,994","超過三萬元之支出合計:2,273,389"
"餘絀",收支結存金額,"1,181,074",
"金錢以外之賸餘財產",0,,
