"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,050,866",
"",營利事業捐贈收入,"3,899,000",
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,"160,000",
"",匿名捐贈收入,"4,100",
"",其他收入,360,"超過三萬元之收入合計:7,246,000"
"",收入合計,"8,314,326","金錢收入總額:7,762,226非金錢收入總額:552,100"
"支出",人事費用支出,omoney8,onte8
"",宣傳支出,"5,274,382",
"",租用宣傳車輛支出,"102,254",
"",租用競選辦事處支出,"116,675",
"",集會支出,"632,865",
"",交通旅運支出,"194,412",
"",雜支支出,"811,702",
"",返還捐贈支出,omoney9,onte9
"",繳庫支出,0,"專戶存款結存金額:858,679"
"",公共關係費用支出,omoney10,onte10
"",支出合計,"7,455,647","超過三萬元之支出合計:5,468,218"
"餘絀",收支結存金額,"858,679",
"金錢以外之賸餘財產",0,,
