"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,596,000",
"",營利事業捐贈收入,"126,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"112,000",
"",匿名捐贈收入,"21,036",
"",其他收入,172,"超過三萬元之收入合計:2,192,000"
"",收入合計,"2,855,208","金錢收入總額:2,654,208非金錢收入總額:201,000"
"支出",人事費用支出,"2,164,910",
"",宣傳支出,"447,629",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,"115,900",
"",交通旅運支出,"114,969",
"",雜支支出,"940,983",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:208
"",公共關係費用支出,0,
"",支出合計,"3,784,391","超過三萬元之支出合計:900,704"
"餘絀",收支結存金額,"-929,183",
"金錢以外之賸餘財產",0,,
