"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"958,450",
"",營利事業捐贈收入,"4,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"57,700",
"",其他收入,97,"超過三萬元之收入合計:360,500"
"",收入合計,"1,020,247","金錢收入總額:1,020,247非金錢收入總額:0"
"支出",人事費用支出,"597,630",
"",宣傳支出,"317,163",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"100,000",
"",集會支出,"13,245",
"",交通旅運支出,"18,033",
"",雜支支出,"94,569",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:1,247"
"",公共關係費用支出,"1,000",
"",支出合計,"1,141,640","超過三萬元之支出合計:198,480"
"餘絀",收支結存金額,"-121,393",
"金錢以外之賸餘財產","15,000",,
