"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,987,000",
"",營利事業捐贈收入,"320,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"87,780",
"",其他收入,75,超過三萬元之收入合計:1960000.00
"",收入合計,"2,394,855","金錢收入總額:2353675.00 非金錢收入總額:41180.00"
"支出",人事費用支出,"757,457",
"",宣傳支出,"1,592,293",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"118,445",
"",集會支出,"89,970",
"",交通旅運支出,"62,441",
"",雜支支出,"251,144",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:75.00
"",公共關係費用支出,"99,037",
"",支出合計,"2,970,787",超過三萬元之支出合計:1445604.00
"餘絀",收支結存金額,"-575,932",
"金錢以外之賸餘財產",0,,
