"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,220,500",
"",營利事業捐贈收入,"2,020,000",
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,388,"超過三萬元之收入合計:4,387,500"
"",收入合計,"4,440,888","金錢收入總額:4,388,388非金錢收入總額:52,500"
"支出",人事費用支出,"1,369,815",
"",宣傳支出,"4,463,574",
"",租用宣傳車輛支出,"1,008,390",
"",租用競選辦事處支出,"508,238",
"",集會支出,"36,503",
"",交通旅運支出,0,
"",雜支支出,"321,401",
"",返還捐贈支出,"100,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"7,807,921","超過三萬元之支出合計:7,344,317"
"餘絀",收支結存金額,"-3,367,033",
"金錢以外之賸餘財產",0,,
