"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"943,450",
"",營利事業捐贈收入,"50,000",
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,070,000"
"",收入合計,"1,193,450","金錢收入總額:1,115,000非金錢收入總額:78,450"
"支出",人事費用支出,"248,000",
"",宣傳支出,"5,423,076",
"",租用宣傳車輛支出,"27,000",
"",租用競選辦事處支出,"100,000",
"",集會支出,"214,900",
"",交通旅運支出,"20,004",
"",雜支支出,"144,514",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:40
"",公共關係費用支出,0,
"",支出合計,"6,177,494","超過三萬元之支出合計:5,598,493"
"餘絀",收支結存金額,"-4,984,044",
"金錢以外之賸餘財產",0,,
