"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,171,600",
"",營利事業捐贈收入,"94,000",
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,"5,000",
"",匿名捐贈收入,"1,000",
"",其他收入,195,"超過三萬元之收入合計:2,100,000"
"",收入合計,"2,471,795","金錢收入總額:2,471,795非金錢收入總額:0"
"支出",人事費用支出,"2,309,259",
"",宣傳支出,"1,537,129",
"",租用宣傳車輛支出,"326,037",
"",租用競選辦事處支出,"40,000",
"",集會支出,"54,720",
"",交通旅運支出,690,
"",雜支支出,"603,324",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:41,395"
"",公共關係費用支出,0,
"",支出合計,"4,871,159","超過三萬元之支出合計:2,720,621"
"餘絀",收支結存金額,"-2,399,364",
"金錢以外之賸餘財產",0,,
