"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,245,600",
"",營利事業捐贈收入,"4,563,000",
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"7,500",
"",其他收入,0,超過三萬元之收入合計:7570000.00
"",收入合計,"8,016,100","金錢收入總額:7836100.00 非金錢收入總額:180000.00"
"支出",人事費用支出,"273,400",
"",宣傳支出,"6,720,839",
"",租用宣傳車輛支出,"99,936",
"",租用競選辦事處支出,"71,368",
"",集會支出,"9,550",
"",交通旅運支出,"19,000",
"",雜支支出,"1,219,666",
"",返還捐贈支出,"491,000",
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,0,
"",支出合計,"8,904,759",超過三萬元之支出合計:6865457.00
"餘絀",收支結存金額,"-888,659",
"金錢以外之賸餘財產",0,,
