"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,323,000",
"",營利事業捐贈收入,"848,000",
"",政黨捐贈收入,"200,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:1736000.00
"",收入合計,"2,371,000","金錢收入總額:2371000.00 非金錢收入總額:"
"支出",人事費用支出,"189,145",
"",宣傳支出,"1,994,110",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"92,373",
"",集會支出,"1,800",
"",交通旅運支出,"30,663",
"",雜支支出,"848,295",
"",返還捐贈支出,"80,000",
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,0,
"",支出合計,"3,236,386",超過三萬元之支出合計:2446480.00
"餘絀",收支結存金額,"-865,386",
"金錢以外之賸餘財產",0,,
