"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,712,000",
"",營利事業捐贈收入,"470,100",
"",政黨捐贈收入,"300,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"31,100",
"",其他收入,0,超過三萬元之收入合計:2306000.00
"",收入合計,"2,513,200","金錢收入總額:2513200.00 非金錢收入總額:"
"支出",人事費用支出,"324,870",
"",宣傳支出,"1,821,195",
"",租用宣傳車輛支出,"325,200",
"",租用競選辦事處支出,"210,261",
"",集會支出,"111,434",
"",交通旅運支出,"17,726",
"",雜支支出,"113,020",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:123200.00
"",公共關係費用支出,"21,020",
"",支出合計,"2,944,726",超過三萬元之支出合計:1610710.00
"餘絀",收支結存金額,"-431,526",
"金錢以外之賸餘財產",0,,
