"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"236,881",
"",營利事業捐贈收入,"317,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:320000.00
"",收入合計,"553,881","金錢收入總額:538881.00 非金錢收入總額:15000.00"
"支出",人事費用支出,"351,243",
"",宣傳支出,"119,063",
"",租用宣傳車輛支出,"6,500",
"",租用競選辦事處支出,"9,559",
"",集會支出,"180,954",
"",交通旅運支出,"2,400",
"",雜支支出,"80,680",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:156671.00
"",公共關係費用支出,"1,500",
"",支出合計,"751,899",超過三萬元之支出合計:109547.00
"餘絀",收支結存金額,"-198,018",
"金錢以外之賸餘財產",0,,
